parcelid,lat,lng,formatted address,# ROOFTOP address fetched
17100444,34.340801,-119.07961,"347 Laurie Ln, Santa Paula, CA 93060, USA",1
17102429,34.354313,-119.076405,"145 W Pleasant St, Santa Paula, CA 93060, USA",2
17109604,34.266578,-119.165392,"1663 Arroyo Seco Dr, Ventura, CA 93004, USA",1
17125829,34.240014,-119.024793,"3350 El Nido St, Camarillo, CA 93010, USA",2
17132911,34.226842,-119.059815,"777 Aileen St, Camarillo, CA 93010, USA",2
17134926,34.229816,-119.050224,"1586 Habra Ct, Camarillo, CA 93010, USA",1
17139988,34.226351,-118.983853,"908 Carissa Ct, Camarillo, CA 93012, USA",1
17167359,34.179289,-119.169287,"628 E Iris St, Oxnard, CA 93033, USA",3
17179760,34.200478,-119.156509,"220 S Driskill St, Oxnard, CA 93030, USA",3
17198685,34.267854,-118.883528,"4243 Oloroso Cir, Moorpark, CA 93021, USA",2
17212207,34.199102,-118.882964,No result,0
17250387,34.265106,-118.747187,"2589 Hollister St, Simi Valley, CA 93065, USA",2
17254534,34.278739,-118.744589,"2654 Cochran St, Simi Valley, CA 93065, USA",2
17260270,34.276919,-118.664161,"2222 Lana Ct, Simi Valley, CA 93063, USA",2
17283162,34.190852,-118.846479,"1707 Ide Ct, Thousand Oaks, CA 91362, USA",1
17283891,34.192567,-118.838784,"1171 Cardiff Cir, Thousand Oaks, CA 91362, USA",3
17291231,34.19433,-118.806073,"1688 Castlebridge Ct, Westlake Village, CA 91362, USA",1
17296734,34.174051,-118.757031,"6351 Pinion St, Oak Park, CA 91377, USA",1
10727091,34.188121,-118.646361,"23831 Mobile St, West Hills, CA 91307, USA",1
10730788,34.188446,-118.616724,"6514 Capistrano Ave, West Hills, CA 91307, USA",2
10735394,34.171439,-118.646883,"5568 El Canon Ave, Woodland Hills, CA 91367, USA",1
10760933,34.220631,-118.521001,"17806 Roscoe Blvd, Northridge, CA 91325, USA",2
10772282,34.209413,-118.578052,"20414 Keswick St, Canoga Park, CA 91306, USA",2
10783331,34.185891,-118.550426,"19133 Friar St, Tarzana, CA 91335, USA",2
10784006,34.192384,-118.54967,"19113 Archwood St, Reseda, CA 91335, USA",1
10808112,34.157695,-118.595642,"21336 Dumetz Rd, Woodland Hills, CA 91364, USA",3
10826124,34.206364,-118.440743,"7454 Stansbury Ave, Van Nuys, CA 91405, USA",2
10836049,34.187044,-118.513829,"17453 Victory Blvd, Van Nuys, CA 91406, USA",1
10837497,34.188289,-118.499379,"6453 Forbes Ave, Van Nuys, CA 91406, USA",1
